,0
399,DHCR24
400,DHFR
401,DHODH
402,CYB5R3
403,NQO1
404,DIO1
405,DIO2
406,DIO3
407,DLAT
408,DLD
409,DLST
410,SARDH
411,AGA
412,AGL
413,AGL
414,AGL
415,AGL
416,AGL
417,AGL
418,DPEP1
419,DPYD
420,DPYS
421,DPYSL2
422,DPYSL3
423,SLC26A3
424,SLC26A2
425,DTYMK
426,DUT
427,TYMP
428,ECH1
429,ECHS1
430,AGXT
431,ABAT
432,ABAT
433,AHCY
434,B3GNT6
435,HIGD2A
436,SDR16C5
437,PLPP4
438,EHHADH
439,ADCY4
440,LDHD
441,LDHD
442,FUK
443,CYP4Z1
444,ABCA1
445,SLC5A9
446,PIKFYVE
447,PIKFYVE
448,PIKFYVE
449,ALG1L
450,SLC51A
451,PLD6
452,
453,HACD2
454,STT3B
455,ENO1
456,ENO2
457,ENO3
458,ENO3
459,SLC29A1
460,AK1
461,CERS3
462,AK2
463,AK2
464,AK2
465,EPHX2
466,AK4
467,AK4
468,AK4
469,SLC36A1
470,ESD
471,ETFA
472,ETFB
473,ETFB
474,ALAD
475,ALAD
476,ETFDH
477,ALAS1
478,ALAS1
479,ALAS2
480,EXT1
481,EXT2
482,EXT2
483,EXTL1
484,EXTL2
485,EXTL3
486,ABCD1
487,FABP4
488,FABP1
489,FABP2
490,ALDH1A1
491,FABP3
492,FABP5
493,FABP6
494,FABP7
495,ALDH2
496,ACSL1
497,ACSL3
498,ACSL3
499,ACSL4
500,ACSL4
501,FAH
502,ALDH3A1
503,FASN
504,ALDH1B1
505,ABCA3
506,LRTOMT
507,FBP1
508,ALDH1A3
509,CES5A
510,PRPS1L1
511,PRPS1L1
512,DAGLB
513,ALDH3B1
514,FDFT1
515,FDPS
516,HS3ST5
517,SLC29A4
518,ALDH3B2
519,FECH
520,FECH
521,ALDH9A1
522,ALDH3A2
523,ABCD2
524,ALDOA
525,ALDOA
526,ALDOA
527,FH
528,CHSY1
529,INPP5F
530,SACM1L
531,RPIA
532,NT5C2
533,ALDOB
534,PLCH1
535,NMNAT2
536,NMNAT2
537,SETD1B
538,ALDOC
539,SLC35D1
540,LPIN1
541,AKR1B1
542,PMPCA
543,ACSBG1
544,PLCB1
545,PLCB1
546,ATP11A
547,PPIP5K2
548,ACSL6
549,SLC9A8
550,TNS2
551,PIP5K1C
552,MLYCD
553,SLC7A8
554,SLC7A8
555,TPSD1
556,ATP1B4
557,SLC35A3
