,0
1679,LPIN3
1680,AGXT2
1681,SLC26A6
1682,SLC26A6
1683,SLC26A6
1684,SLC1A1
1685,SLC1A2
1686,SLC1A3
1687,SLC4A3
1688,SLC4A3
1689,SLC1A4
1690,SLC1A5
1691,SLC1A6
1692,SLC1A7
1693,SLC2A1
1694,SLC2A2
1695,SLC2A3
1696,SLC2A4
1697,SLC2A5
1698,SLC3A1
1699,SLC3A2
1700,SLC4A1
1701,NADK
1702,SLC4A2
1703,SLC5A1
1704,SLC5A2
1705,PYCRL
1706,SLC5A3
1707,SLC5A5
1708,SLC6A1
1709,SLC6A2
1710,SLC6A3
1711,SLC6A4
1712,SLC6A6
1713,SLC6A7
1714,SLC6A8
1715,SLC6A9
1716,SLC6A9
1717,SLC6A11
1718,SLC6A12
1719,SLC6A13
1720,SLC7A1
1721,SLC7A2
1722,SLC8A2
1723,SLC8A1
1724,SLC8A3
1725,SLC8A3
1726,SLC8A3
1727,SLC8A3
1728,SLC8A3
1729,SLC8A3
1730,SLC9A1
1731,SLC9A2
1732,SLC9A3
1733,SLC9A5
1734,SLC10A1
1735,SLC10A2
1736,SLC11A1
1737,SLC12A1
1738,SLC12A2
1739,SLC12A3
1740,SLC12A4
1741,SLC13A1
1742,SLC14A1
1743,SLC15A1
1744,SLC15A2
1745,SLC16A1
1746,SLC16A2
1747,SLC17A1
1748,SLC34A1
1749,SLC18A1
1750,SLC18A2
1751,SLC18A3
1752,SLC19A1
1753,SLC19A1
1754,SLC20A1
1755,SLC20A2
1756,SLC25A1
1757,SLCO2A1
1758,SLCO1A2
1759,SLC22A1
1760,SLC22A3
1761,SLC22A2
1762,SLC22A2
1763,SLC22A4
1764,SLC22A5
1765,AACS
1766,CYP4F12
1767,SLC2A11
1768,SMPD1
1769,SMPD2
1770,SMS
1771,SOAT1
1772,SOD1
1773,SOD2
1774,SOD3
1775,SORD
1776,UAP1
1777,SPR
1778,BPGM
1779,BPGM
1780,SQLE
1781,SRD5A1
1782,SRD5A2
1783,AKR1D1
1784,SRM
1785,SULT1E1
1786,ELOVL4
1787,SULT1A2
1788,SULT1A2
1789,SULT1A1
1790,SULT1A1
1791,SULT1A1
1792,SULT1A1
1793,SULT1A1
1794,SULT1A3
1795,SULT1A3
1796,SULT1A3
1797,SULT1C2
1798,SULT2B1
1799,SULT2B1
1800,SUOX
1801,SULT2A1
1802,BSG
1803,ABCC8
1804,SUV39H1
1805,BTD
1806,TALDO1
1807,TAT
1808,TBXAS1
1809,TDO2
1810,PRDX2
1811,PRDX2
1812,PRDX2
1813,TH
1814,TH
1815,TH
1816,TK1
1817,TK2
1818,TKT
1819,TM7SF2
1820,TPH1
1821,TPI1
1822,TPO
1823,TPO
1824,TPO
1825,TPO
1826,TPO
1827,TPSAB1
1828,TST
1829,TSTA3
1830,GGT2
1831,TXNRD1
1832,TXNRD1
1833,TXNRD1
1834,TXNRD1
1835,TYMS
1836,TYR
1837,TYRP1
1838,UCP1
1839,UCP2
1840,UCP3
1841,UCP3
1842,SLC35A2
1843,UGCG
1844,UGDH
1845,UGP2
1846,UGP2
1847,UGT2B4
1848,UGT2B7
1849,UGT2B10
1850,UGT2B15
1851,UGT2B17
1852,UGT8
1853,UCK2
1854,UMPS
1855,UPP1
1856,UPP1
1857,UQCRB
1858,UQCRC1
1859,UQCRC2
1860,UQCRFS1
1861,UQCRH
1862,UROD
1863,UROS
1864,WHSC1
1865,DAGLA
1866,XDH
1867,CA1
1868,CA2
1869,CA3
1870,CA4
1871,CA5A
1872,CA6
1873,CA7
1874,CA7
1875,CA8
1876,CA9
1877,CA12
1878,CA12
1879,SLC30A1
1880,PXDN
1881,SLC25A20
1882,GGCT
1883,ST8SIA4
1884,ELOVL6
1885,DCTPP1
1886,ALG12
1887,CAD
1888,ALDH5A1
1889,ALDH5A1
1890,THTPA
1891,HSD17B8
1892,B3GNT4
1893,GLB1L
1894,PLA2G7
1895,SLC52A2
1896,CHPF
1897,CERS4
1898,ACSS3
1899,GALNT14
1900,SRD5A3
1901,PANK3
1902,FN3KRP
1903,GALNT12
1904,NOL9
1905,PPCS
1906,SUV39H2
1907,SLC25A22
1908,UGT2A3
1909,EHMT1
1910,AGMAT
1911,PIP4K2C
1912,THNSL1
1913,CYBRD1
1914,TUSC3
1915,TUSC3
1916,PLPPR3
1917,SCD5
1918,ELOVL7
1919,PANK2
1920,PANK2
1921,PANK2
1922,PANK2
1923,PGAP1
1924,PTGES2
1925,PTGES2
1926,PTGES2
1927,PTGES2
1928,UXS1
1929,ASRGL1
1930,ATHL1
1931,MOGAT2
1932,HKDC1
1933,PIGZ
1934,HSD3B7
1935,ITPKC
1936,FLAD1
1937,FLAD1
1938,PNPLA3
1939,COASY
1940,SLC25A16
1941,
1942,PDHX
1943,SLC19A3
1944,ACAD10
1945,SETD7
1946,KMT2D
1947,SLC2A10
1948,SLC7A5
1949,PTDSS2
1950,SGPP1
1951,SLC38A1
1952,PLA2G12A
1953,ACSBG2
1954,SLC14A2
1955,ST6GALNAC5
1956,SLC25A28
1957,PNPLA4
1958,TKTL1
1959,EPX
1960,ACOX2
1961,ACOX3
1962,ELOVL3
1963,GLT8D2
1964,UCK1
1965,NUDT12
1966,SLC4A9
1967,HYAL3
1968,SLC25A18
1969,SETDB2
1970,SLC25A2
1971,PIP5K1A
1972,PIP5K1B
1973,PIP4K2B
1974,PIP4K2B
1975,PLA2G6
1976,PLA2G6
1977,PLA2G10
1978,B3GNT5
1979,SLC25A11
1980,TKTL2
1981,PCBD2
1982,ACAD11
1983,BBOX1
1984,HAGHL
1985,HAGHL
1986,COQ5
1987,SOAT2
1988,DOT1L
1989,DUSP11
1990,PLPP5
1991,ACSS1
1992,LYZL1
1993,NT5C1A
1994,DGAT2
1995,SLC9A7
1996,MCEE
1997,COX4I2
1998,GPT2
1999,PIGO
2000,PIGO
2001,CNDP1
2002,OGT
2003,FUT10
2004,B3GNT9
2005,KMT5C
2006,CAT
2007,PLCD4
2008,PLPP7
2009,CBR4
2010,SLC7A3
2011,ADO
2012,SLC35B4
2013,ALG10
2014,PHYKPL
2015,SLC43A1
2016,PIK3R3
2017,NDST2
2018,LIPF
2019,DGKZ
2020,DGKZ
2021,DGKZ
2022,DGKE
2023,DGKD
2024,DGKD
2025,DDO
2026,DDO
2027,CYP4F2
2028,ABCC11
2029,CHST1
2030,EPT1
2031,DEGS1
2032,DEGS1
2033,KMO
2034,PDXK
2035,AKR7A2
2036,SLC25A12
2037,RDH16
2038,PLPP1
2039,PLPP1
2040,PLPP2
2041,PLPP3
2042,PDE8B
2043,HSD17B6
2044,AOC3
2045,AKR1C3
2046,ABCB11
2047,PDE5A
2048,PDE5A
2049,PDE5A
2050,ALDH4A1
2051,ALDH4A1
2052,SLC4A4
2053,GALNT4
2054,DGAT1
2055,B4GALT4
2056,B4GALT3
2057,B4GALT2
2058,B4GALT2
2059,B3GALT4
2060,B3GALNT1
2061,B3GALNT1
2062,B3GALNT1
2063,B3GALNT1
2064,B3GALT2
2065,B3GALT1
2066,ABCC3
2067,ABCC3
2068,ABCC3
2069,GPAA1
2070,CBR1
2071,CBR3
2072,CBS
2073,CDS2
2074,MTMR1
2075,
2076,FBP2
2077,FPGT
2078,SUCLG2
2079,SUCLG1
2080,SUCLA2
2081,DPM2
2082,DPM2
2083,INPP4B
2084,CES2
2085,GMPS
2086,GGH
2087,KYAT1
2088,ALDH1A2
2089,ALDH1A2
2090,ALDH1A2
2091,SYNJ1
2092,SYNJ1
2093,ST3GAL5
2094,SYNJ2
2095,VNN2
2096,VNN2
2097,VNN1
2098,SPHK1
2099,SGPL1
2100,SLC5A6
2101,MTMR3
2102,MTMR3
2103,MTMR3
2104,MTMR2
2105,GYG2
2106,KYNU
2107,MGAM
2108,P4HA2
2109,PLCZ1
2110,AQP10
2111,SLC25A21
2112,ATP6V0E1
2113,HS6ST2
2114,HS6ST2
2115,SLC25A14
2116,SLC25A14
2117,CH25H
2118,ATP6V1E2
2119,RPL14
2120,SLC7A7
2121,SLC7A6
2122,SLC13A2
2123,PAPSS2
2124,PAPSS1
2125,SEC11C
2126,PIGQ
2127,PIGQ
2128,CERS5
2129,MTMR6
2130,MTMR7
2131,ATP6V0D1
2132,SCARF2
2133,GGTLC2
2134,SLC16A3
2135,UAP1L1
2136,SLC6A5
2137,SLC28A2
2138,SLC28A1
2139,SLC28A1
2140,DGKI
2141,COX7A2L
2142,ACY3
2143,IDI2
2144,SLC24A1
2145,SLC16A7
2146,SLC33A1
2147,HACD1
2148,GGTLC1
2149,LRAT
2150,PXYLP1
2151,GCNT3
2152,LDHAL6B
2153,DHRS3
2154,G6PC3
2155,SLC38A5
2156,ATP6V1F
2157,B3GNT7
2158,NT5C1B
2159,NT5C1B
2160,NAPRT
2161,PIGM
2162,B4GALT6
2163,B4GALT5
2164,NDST3
2165,TPTE2
2166,SDR42E1
2167,SLC22A6
2168,ACPT
2169,KL
2170,PPT2
2171,SLC22A8
2172,COX5A
2173,GRHPR
2174,LIPG
2175,SLC22A13
2176,HS6ST1
2177,CPA5
2178,PIGS
2179,FTMT
2180,FADS2
2181,CYP7B1
2182,ABCG2
2183,CHST2
2184,GGPS1
2185,PCYT1B
2186,CHST3
2187,SLC25A27
2188,PIGL
2189,PIGB
2190,PGS1
2191,CD36
2192,SLC4A7
2193,SLC4A8
2194,SCARB1
2195,GAL3ST1
2196,SPTLC2
2197,TECR
2198,CD38
2199,PTGES
2200,PTGES
2201,ENTPD1
2202,ENTPD2
2203,ENTPD2
2204,ATP6V1G1
2205,ATP5J2
2206,ATP5J2
2207,ATP5J2
2208,ENTPD6
2209,MINPP1
2210,H6PD
2211,ENTPD3
2212,ENTPD5
2213,ENTPD4
2214,PRDX6
2215,ACY1
2216,GDA
2217,PLCH2
2218,HS2ST1
2219,LPIN2
2220,PPIP5K1
2221,SETD1A
2222,KMT2B
2223,SPCS2
2224,CDA
2225,PTDSS1
2226,ACYP1
2227,ACYP1
2228,IP6K1
2229,IP6K1
2230,HEPH
2231,SETDB1
2232,PLPPR4
2233,FIG4
2234,ACYP2
2235,FAM20B
2236,XYLB
2237,GFPT2
2238,HS3ST4
2239,HS3ST3B1
2240,HS3ST3A1
2241,HS3ST2
2242,HS3ST1
2243,SLC23A2
2244,SLC23A2
2245,SLC23A1
2246,SLC23A1
2247,SLC12A6
