,2C_to_32cell_embryo2_9_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_2_k0.1_r0.01,2C_to_32cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_5_split2_k0.1_r0.01,2C_to_32cell_embryo2_10_split1_k0.1_r0.01,2C_to_32cell_embryo2_10_split2_k0.1_r0.01,2C_to_32cell_embryo1_3_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_16_k0.1_r0.01,2C_to_32cell_embryo6_4_k0.1_r0.01,2C_to_32cell_embryo1_5_split1_k0.1_r0.01,2C_to_32cell_embryo1_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_15_k0.1_r0.01,2C_to_32cell_embryo2_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_19_k0.1_r0.01,2C_to_32cell_embryo6_6_k0.1_r0.01,2C_to_32cell_embryoMixed_10_k0.1_r0.01,2C_to_32cell_embryo6_8_k0.1_r0.01,2C_to_32cell_embryo4_1_k0.1_r0.01,2C_to_32cell_embryoMixed_20_k0.1_r0.01,2C_to_32cell_embryo5_4_k0.1_r0.01,2C_to_32cell_embryo1_7_split2_k0.1_r0.01,2C_to_32cell_embryo2_8_split1_k0.1_r0.01,2C_to_32cell_embryo4_2_k0.1_r0.01,2C_to_32cell_embryoMixed_1_k0.1_r0.01,2C_to_32cell_embryo2_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_14_k0.1_r0.01,2C_to_32cell_embryo1_4_split2_k0.1_r0.01,2C_to_32cell_embryo6_2_k0.1_r0.01,2C_to_32cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_24_k0.1_r0.01,2C_to_32cell_embryo1_6_split1_k0.1_r0.01,2C_to_32cell_embryo2_5_split1_k0.1_r0.01,2C_to_32cell_embryo6_1_k0.1_r0.01,2C_to_32cell_embryoMixed_21_k0.1_r0.01,2C_to_32cell_embryoMixed_12_k0.1_r0.01,2C_to_32cell_embryo6_5_k0.1_r0.01,2C_to_32cell_embryo6_3_k0.1_r0.01,2C_to_32cell_embryo2_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_9_k0.1_r0.01,2C_to_32cell_embryoMixed_8_k0.1_r0.01,2C_to_32cell_embryo1_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_11_k0.1_r0.01,2C_to_32cell_embryo1_3_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_23_k0.1_r0.01,2C_to_32cell_embryoMixed_3_k0.1_r0.01,2C_to_32cell_embryo1_7_split1_k0.1_r0.01,2C_to_32cell_embryo2_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_5_k0.1_r0.01,2C_to_32cell_embryoMixed_7_k0.1_r0.01,2C_to_32cell_embryo1_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_22_k0.1_r0.01,2C_to_32cell_embryo5_5_k0.1_r0.01,2C_to_32cell_embryo1_6_split2_k0.1_r0.01,2C_to_32cell_embryo4_3_k0.1_r0.01,2C_to_32cell_embryo4_4_k0.1_r0.01,2C_to_32cell_embryo2_5_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_18_k0.1_r0.01,2C_to_32cell_embryo2_9_split2_k0.1_r0.01,2C_to_32cell_embryo3_4_split2_k0.1_r0.01,2C_to_32cell_embryo3_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_13_k0.1_r0.01,2C_to_32cell_embryoMixed_17_k0.1_r0.01,2C_to_32cell_embryo5_3_k0.1_r0.01,2C_to_32cell_embryo4_5_k0.1_r0.01,2C_to_32cell_embryoMixed_4_k0.1_r0.01,2C_to_32cell_embryo1_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_8_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_6_k0.1_r0.01,2C_to_32cell_embryo6_7_k0.1_r0.01,2C_to_32cell_embryo2_7_split1_k0.1_r0.01
gln-L,0.0,0.0,0.0026174254798628804,0.0,0.0,0.0,0.0,0.0,0.010743244769497945,0.0,0.0,0.0,0.0,0.0023875024800506465,0.0,0.0,0.0009733117999633569,0.0,0.0,0.0,0.0,0.0,0.0,0.0010175881881179976,0.0,0.0,0.0,0.00344174095062925,0.005424987241805637,0.0020632144028715008,0.0,0.009485683735827862,0.0,0.0,0.009697686285529049,0.0,0.0,0.0,0.0,0.0,0.00018596054273679029,0.0,0.0,0.008643232978967904,0.0,0.0,0.0,0.0,0.0016375083456745174,0.0,0.002705855665053766,0.004532834520478787,0.006021987820083217,0.0,0.0013295131563269354,0.0,0.0,0.0,0.0,0.0,0.010207121471361384,0.0,0.010665613018822422,0.0,0.0,0.0014485989211100445,0.0,0.0,0.009118249674999222,0.0019775187162165016,0.0,0.007258275189298993,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030496486447391077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016537787151561095,0.006036746776313902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014793977863223901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006942518389361283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007285314468973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007067673769909455,0.0,0.0,0.0002766383833160756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004193159054013961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glygn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gmp,0.00018996155698992106,6.813036044980663e-05,0.0,0.0021894487180592163,0.0,0.0015499005156338775,0.0,0.0,0.0,0.0,0.003695647340765712,0.0,0.00023022277914436166,0.0,0.001572272975667775,0.0,0.0,0.003056842085165386,0.004866207532720146,0.0022829857733735618,0.0,0.0,0.000594194490624662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007971640854248124,0.0,0.0,0.0,0.0005753520392413358,0.003511236061816078,0.001982277413034339,0.0,0.0,0.0018067976030929087,0.0,0.00026042313105863863,0.0,0.001903082939524434,0.0,0.0,0.0010142665216192474,0.0,0.0,0.0,0.000559992002429177,0.0,0.0,1.0682777253002112e-05,0.0,0.0,0.0,0.0,0.001442804113148462,0.0,0.00010137260624183353,0.0001883594027713295,0.0,0.0,0.0009863228024007756,0.0,0.0,0.0007077179455868331,0.0,0.0
gthox,0.0008743776918870556,0.0007733370285120593,0.002904674422339312,0.0006278579384343257,0.0035258450038264458,0.0024149966496172285,0.0036490487165759013,0.00036267607979071454,0.0023947919366247845,0.0016437905849411528,0.0074387901463896094,0.0005937360345305541,0.0,0.0030615572680025823,0.0008732526790070365,0.0006287866712611258,0.0036441345131964066,0.001718510399251325,0.0063190683517670284,0.0033230148320134377,0.0005736625026706106,0.0,0.0011985266015326046,0.003141536383142173,0.003487466842528565,0.000859632679685072,0.00015711598755267263,0.002491715437017424,0.0028226449447612705,0.0009519748991280281,0.003746971151235985,0.0019419610729280237,0.0011848158941178302,0.005646382741444673,0.003947107430567929,0.0,0.003704509592396767,0.00014718815259190092,0.0018645387014918145,0.004604439886700278,0.003123445872475752,0.0,0.004590976911510274,0.006123401800525521,0.0,0.0009762286120409797,0.006253928827617087,0.004651013165864616,0.005009647206542273,0.0,0.0026933560104966123,0.0010101795753046506,0.005811822080654318,0.0002892226920403816,0.0024859344095838586,0.004253253600439466,0.003546699590336261,0.00042589687824158996,0.0,0.004746885735535075,0.0022833468093872767,0.0,0.0,0.003995299426992188,0.0,0.002590797179756682,0.003451218217637809,0.004819118260410948,0.004668168635291165,0.004898254101015257,0.0018414770709648074,0.0020409118897272748,0.0
gthrd,0.003057024258949133,0.0028351030413818535,0.0,0.007759555007614753,0.0,0.006181933261582867,0.0,0.006197995429911388,0.0,0.0007136352133758751,0.0,0.007611923577082177,0.0019014082906696267,0.0,0.005722683279701201,0.0011181322561437154,0.0,0.005121058588798468,0.0036023862899408335,0.0,0.0036302249624239886,0.009768191946728599,0.0022887238058486134,0.0,0.0,0.0009267879725010709,0.0070394527754457405,0.0,0.0,0.0003286813618915806,0.0,0.005825850148540739,0.0,0.0,0.0,0.007953898942046459,0.0,0.004427135724834134,0.004068872708741312,0.0,0.0,0.002531785624011269,0.0,0.0,0.0019196580926637162,0.002315349809027722,0.0,0.0005642403533041342,0.0,0.00804114239377465,0.004320559775463008,0.006794859344647632,0.0,0.001412990623377777,0.0,0.0,0.0,0.0,0.005685446674994464,0.0,0.00471260149923685,0.007576639529622381,0.009317542195902336,0.0,0.004524074201966911,0.0,0.0,0.0013974975898114943,0.003118881833503002,0.0,0.005278866755424044,0.006692777545195433,0.002872940829104116
h2o,0.005621793287959411,0.0047880851068448724,0.0,0.0,0.0,0.004157380659453619,0.0,0.008780641938156902,0.006979546402007412,0.016304099928278817,0.0018897481878112322,0.0,0.002536492945530484,0.0,0.0,0.009887347297214638,0.0,0.0,0.0,0.0,0.01608949606964392,0.022640174253566764,0.0038724134542594637,0.0,0.0,0.010129760232053262,0.0,0.0,0.008559277144344037,0.022027187477647387,0.0,0.0014508045141434153,0.0,0.0,0.007277530556000509,0.02138659847330321,0.0,0.00457351377669029,0.000214284023069053,0.0,0.0,0.005633105608128473,0.0,0.005126840980019308,0.002463889028988304,0.031410453337473804,0.004951512343443745,0.0,0.00032805955663784184,0.0,0.0003898227743005562,0.0,0.003166195800976195,0.0,0.0,0.0,0.0,0.0,0.02052467375658838,0.0,0.0026982069643897047,0.00667823041534457,0.005612718829944555,0.0,0.005663702467937565,0.0,0.0,0.0,0.008655196930153469,0.0,0.006772499936918046,0.0026928049255499713,0.004160963783814072
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3652649796167285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2923356057178182e-05,0.0,0.0,0.0
ile-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2150161676905208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
