,upgenes
405,CCDC157
406,KLHL17
407,ZC3H6
408,COMMD6
409,GOLGA8M
410,UTS2B
411,NDUFA4
412,APOD
413,S100A13
414,S100A14
415,MYBPC1
416,SEMA4A
417,SPTSSB
418,TOMM7
419,LCE1B
420,S100A2
421,WDR45
422,COL13A1
423,SLC28A3
424,MIB2
425,TTC30A
426,RPS26
427,PSAP
428,RPL37A
429,ZNF461
430,FCHSD1
431,RPL12
432,RPL23A
433,UBL5
434,ZNF26
435,MT-ND6
436,MT-CO2
437,UNC13B
438,MT-CYB
439,RPL10A
440,MT-ND2
441,MT-ND3
442,SFMBT2
443,MT-ND4
444,MT-ND1
445,MT-ATP6
446,RPL39
447,RN7SKP203
448,RN7SKP217
449,RNA5SP149
450,RF00100
451,RNU6-8
452,RN7SKP230
453,RBM20
454,SNHG5
455,EFCAB7
456,RPL12P1
457,SPIN3
458,C9orf129
459,TRIM39
460,HLA-F
461,RPS26P8
462,TCTN1
463,C12orf73
464,CDKL4
465,C4orf47
466,CFI
467,SERF1B
468,DENND1C
469,CATSPER2P1
470,DNAJC19
471,COLQ
472,RNU1-27P
473,MIR23A
474,RPL15P3
475,MT-ND4L
476,RPS26P6
477,YBX1P4
478,RPL9P18
479,RPL17P50
480,PIGCP1
481,RPS29
482,PLEKHM1P1
483,EEF1A1P12
484,FIS1
485,RPS2P6
486,TTC3P1
487,AC141586.1
488,GOLGA8B
489,TMCO5B
490,MYL5
491,ARHGAP27P1-BPTFP1-KPNA2P3
492,SYCE3
493,RPS10P3
494,MIF-AS1
495,AL033519.2
496,FTH1P8
497,PPP1R3G
498,RPL5P18
499,RPL21P119
500,RPL21P16
501,FTH1P10
502,TMLHE-AS1
503,RPS27AP16
504,AL121983.1
505,AC004552.1
506,AC246787.1
507,TAF1A-AS1
508,MTND1P23
509,RPL26P19
510,PARD3-AS1
511,AC135371.1
512,ADAM1B
513,GAPDHP73
514,FTH1P20
515,
516,COX6A1P2
517,KLLN
518,AP001324.1
519,LINC01068
520,LINC01655
521,PPIAP19
522,MT-ATP8
523,PCAT6
524,EEF1A1P11
525,AL356310.1
526,AL450992.1
527,RPL41
528,AC026403.1
529,LINC02069
530,AC127383.1
531,PATL2
532,RPL21P93
533,AL450322.2
534,AC018462.1
535,YWHAZP3
536,AC018463.1
537,SPATA31C1
538,RPS23P8
539,MTCO1P53
540,MIR205HG
541,AL929472.2
542,AC002451.1
543,RPS18
544,AL606534.2
545,AL355472.1
546,AL136454.1
547,AC067945.3
548,AC007383.3
549,AL078590.3
550,SLC16A6P1
551,LINC01549
552,RPL3P4
553,KANTR
554,GPX1
555,AL035401.1
556,AC007969.1
557,LINC01136
558,RPL10P9
559,RPS28
560,UQCRHL
561,AC003988.1
562,AC099560.2
563,AL139289.2
564,RPS3AP6
565,ID2-AS1
566,AC073046.1
567,FAM21EP
568,RPL36AP26
569,LINC01828
570,APOA1-AS
571,ZBTB22
572,RPL13AP5
573,AC007563.2
574,AC244035.2
575,ZEB1-AS1
576,ZNF295-AS1
577,AC008267.5
578,LINC01637
579,S100A11P1
580,RPS15AP38
581,FAM21FP
