,min_18_GSE122927_P_p21_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,Sharma_21_EGF_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amet,0.0,0.0,0.0007890240333056193,0.0,0.0,0.0,0.0,0.0,0.00012698972538199916,0.0,8.134768653565795e-06,0.008115873771065199,0.0,0.00081700013887581,0.0014249999876146697,0.0012526185754699406,0.0,0.004210487185404801,0.0,0.0,0.0,0.002464667888953988,0.0,2.9165492095578217e-05,0.0,0.0,5.3751866100081215e-06,9.636750993167579e-05,0.00013341905176663055,0.009408769501999951
chsterol,0.0,0.0011243339277518631,7.216533481100953e-06,0.0007065043317107716,0.0,0.0,0.0007712127986177985,0.0016324254704215594,1.7218842266844866e-06,0.00021057051559452452,0.0,0.0010027264912559693,0.00018660247587418667,5.260137198502912e-06,0.0006687438820180407,0.00034705401959868857,0.0007057477367645484,0.0008891648490043846,0.0,9.321532951593865e-06,0.000797773316832414,0.0011609514619645076,0.000726444918777359,0.00019924097489096754,0.00035464486429026993,0.0003422804778138323,1.7934879449173372e-07,0.0,2.4145368764590345e-06,0.0006492020999583126
clpn_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8150825546770131e-06,0.0
glu-L,0.0,0.0,0.0,0.0,3.6423054723960315e-05,0.0002071693892578963,0.0,0.0036025497054925767,0.0,0.017140569104080027,0.00011104767443887814,0.0,0.0,0.00020345589449020061,0.0,0.0,0.0,0.0,0.0,6.985279533155593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003172263822728466,0.0
gln-L,0.0,0.0,0.0,0.010935024727456949,2.8317703144769206e-05,0.0,0.0,0.0,0.0,0.02902033092593577,0.0,0.0,0.0,0.0,0.0,0.0,0.023857956913380593,0.0,0.0,0.0012269341576897303,0.02305843649687488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xolest_hs,0.0,0.00011589885830715661,2.5504530287759496e-07,1.9389310588755466e-05,0.0,0.0,0.00016026839641964196,0.00028239006310797884,1.778776404622011e-05,0.0004473970240690626,0.0,0.0003828035493351917,0.0,2.6304300677836498e-05,6.496438031521989e-05,7.634840317077003e-05,0.0011762938056854677,0.000666741772965568,0.0,5.87155924065738e-06,0.0008899995141021393,0.0006746155894226413,0.00032271012963013744,2.648213532826486e-05,3.389620802096177e-05,0.0001259560864507098,0.0,0.0,1.0187385566569405e-06,0.0003573569445128829
gthox,0.0,0.001033282433984792,0.0,0.0007205143108839388,0.0,0.0,0.0,0.0008309797172467772,0.0,0.006528222483876125,2.1428742075772744e-05,0.0,0.0,0.0,0.0012413195656481267,0.0,0.0,8.891227611147898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00031674071053914817,0.0,0.0,0.0,0.00016792254063389462,0.0
ile-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007196517650798417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008409114393404409,0.0,0.0,0.00010733612290969986,0.0,0.0,0.00010099400580984414,0.00016130755751127843,6.190286154662583e-05,0.0,0.0006505940002155888,0.0,0.0,0.0,0.007261483760879928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001211249515700206,0.0,0.0,2.7931836096341694e-05,0.0010250627963606892,0.0,0.0001533509614028752,0.00017985697270815203,0.00033278659301054915,0.0,0.0018422709307002235,0.0,0.0,0.0,0.002115922675793387,0.0,3.9412404636755e-05,0.00014531623629901412,0.0,8.222805662276545e-05,0.0,0.0,0.0
accoa,0.0023228499700713545,0.0,0.0,0.002227336636465154,0.0,0.0,0.0,0.0,0.0,0.002908726936636118,0.0,0.0,0.0,0.0,0.0,0.0,0.000814129510885468,0.0,0.0,0.0,0.0013366134271379023,0.0,0.0,0.0,0.0,9.323104151672421e-05,0.0,0.0,5.210027557402467e-05,0.0
