gene,P_rep1,P_rep2,P_rep3,7dCI_rep1,7dCI_rep2,7dCI_rep3,,,,,
MCM5,7563.753714,5873.960838,8011.176855,947.1219507,2020.870366,835.7068309,,,,,
C13orf15,99.9689671,30.86318406,101.4798757,588.8841144,747.8811592,613.8748007,,,,,
NCAPH,2944.848556,2213.188973,2790.983248,413.8546693,657.7110904,271.3605653,,,,,
EXO1,1630.002481,1561.079762,1137.49194,161.9431315,410.1854112,143.0049252,,,,,
C3orf52,259.2415588,406.1993257,296.9863029,34.35157334,33.59277075,41.15751505,,,,,
FAM198B,89.80263147,387.2831807,216.7197346,1526.19133,2038.550772,1774.656242,,,,,
IL11,1511.395231,1057.312951,1053.212043,153.7641854,134.371083,184.1624402,,,,,
PNP,2267.092847,2029.005455,2465.903647,405.6757233,362.4483159,280.4291703,,,,,
TRIM55,276.1854515,391.265527,532.0526817,25.35473271,54.80925753,22.32272003,,,,,
IFIH1,50.83167819,38.82787672,54.46659996,463.7462401,493.2833178,327.8649504,,,,,
ZNF608,182.9940415,297.6803882,263.7330103,1966.218627,2158.777531,1543.755607,,,,,
RHOJ,93.19141001,470.9124536,483.3194081,2222.219637,2751.07112,3296.786714,,,,,
RAD51,1255.542451,1029.436526,1529.078127,152.1283962,249.2937197,209.2755002,,,,,
APOL3,179.6052629,86.61603269,224.1730588,1033.818779,1322.494343,1370.056942,,,,,
HJURP,4888.313052,3075.366954,5018.953853,635.5041068,1067.896502,569.2293606,,,,,
MTUS1,157.5782024,58.73960838,45.86661049,669.8556802,818.6027818,476.4505555,,,,,
CILP,0,5.973519496,9.746654729,250.2757486,198.0205433,408.0872255,,,,,
CCDC99,4566.379091,5836.128548,4122.834951,594.6093767,1200.499544,673.8671108,,,,,
MAD2L1,2556.833413,2694.057293,2946.356391,366.4167823,786.7780517,348.7925004,,,,,
SELENBP1,294.8237335,286.7289358,599.1325995,2604.176417,2340.885709,3583.494149,,,,,
FEN1,5144.165833,3673.71449,5001.753874,808.8977628,929.9893375,575.5076257,,,,,
WDR62,2665.274326,1801.016128,3214.10273,360.6915201,477.3709527,223.2272003,,,,,
MYBL2,4073.311812,3044.50377,5379.006745,422.0336154,806.2264979,482.7288205,,,,,
EMX2OS,1929.909382,1053.330604,1236.105153,9002.5659,6598.327391,11341.33694,,,,,
ABCA9,5.083167819,4.977932913,7.453324205,748.3735621,334.1596669,431.8051155,,,,,
RARRES3,1.694389273,1.991173165,21.78663998,220.8315429,305.8710178,447.8495705,,,,,
PRPS1,8471.946365,13088.9768,12787.03767,1425.590294,1801.633336,2435.966823,,,,,
C11orf82,1284.347069,1350.015406,984.9854603,160.3073423,316.4792612,131.1459801,,,,,
