,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
0,1.1939827982015468e-05,1.0201034818991443e-06,0.0,2.158136023426788e-05,1.533933868310569e-06,5.3495416519343075e-09,0.0003111665115046931,3.8400459315639964e-05,0.00013587268596628095,8.653812042871297e-07,2.1182510120589916e-05,1.5678072551495548e-08,5.147312300187484e-05,6.813114786580932e-06,0.0014423733665501887,2.9045331488742463e-08,1.989493635602508e-07,2.594871229710814e-07,2.946902501305435e-07,2.9447207086129376e-08,2.8937793704996303e-05,8.596433349016782e-06,1.5056489737596445e-05,0.00017697706941214238,1.0466638775666999e-05,1.4442313614071563e-08,1.8338231187040537e-06,0.00020569478929205855,1.2652132491512996e-06,2.8300792880704987e-05
1,1.0198929485833681e-05,8.45834594978067e-07,0.0,3.166707910066531e-05,2.464458026610186e-06,2.1799828210298827e-08,0.002121490669345259,4.1105411924649325e-05,8.818599433406952e-05,5.786160636352786e-07,3.975053119387783e-05,3.410236430403368e-08,2.870282452873076e-05,1.3139961953192638e-05,0.0010775176414614762,1.605594854403109e-08,5.059129947844637e-07,2.67524564902023e-07,3.5996617364686297e-07,1.5531345878064105e-08,6.291300487941774e-05,4.027926036433066e-05,1.63781377580767e-05,0.0001416267633935741,1.5163994139672822e-05,1.7202711894677243e-08,8.208108821982679e-07,0.00010985589830474084,2.4778721874091474e-06,2.68356810275003e-05
2,6.100192503676398e-06,1.1256275181678963e-06,0.0,1.9742788795330348e-05,1.2486453209159281e-06,2.2800777876725378e-08,0.00036009447299317727,2.7396760778944572e-05,0.0001033130659857747,7.999086254033975e-07,2.4525177818614122e-05,1.81295946944156e-08,6.434713974838405e-05,1.2453359625436751e-05,0.0005799662266543526,5.084438452148785e-08,2.61329348757568e-07,1.4139967838582243e-07,3.13327714703337e-07,2.701301024102799e-08,4.9495674356862045e-05,2.8226966647951673e-05,1.1705694231219846e-05,7.050226863562078e-05,6.689939426662266e-06,1.4451831565378323e-08,1.1129245761458993e-06,7.762178426720324e-05,1.4488902386283616e-06,2.482129217176179e-05
3,1.3704054708368449e-05,1.2282625081722004e-06,0.0,2.1016464736223578e-05,1.271296905592458e-06,5.6750115841755815e-09,0.0003336927831245712,4.152610574219581e-05,0.00027400994044373886,3.0746054542537184e-07,1.7322949328191586e-05,2.7987336248759762e-08,2.140524520459204e-05,1.003839119876086e-05,0.002148084276781093,3.4768175943375736e-08,2.888060540454799e-07,2.3631218119790374e-07,7.575984896280843e-07,9.01669883043353e-09,3.565929397520282e-05,1.6601508344062353e-05,8.04200439513494e-06,0.0003212027083505306,1.0044972309013975e-05,2.173536736344547e-08,1.3816422298034442e-06,0.00015135562314763822,9.543491011969538e-07,1.9765910981936162e-05
4,7.670053149763583e-06,1.2146178881840523e-06,0.0,2.851412176843471e-05,1.7800158294938247e-06,8.14263431647856e-09,0.0003328441224661366,1.8928146530254333e-05,0.00013010302165210032,4.1148071660935326e-07,3.1957651195395e-05,1.5378837079200707e-08,3.9960642964123055e-05,1.6993924440842284e-05,0.0006004683514361445,4.49602912203662e-08,1.9160739751793086e-07,1.482922079883225e-07,4.2170697996981004e-07,2.3117780016362746e-08,2.8983007736428218e-05,1.268420481070493e-05,7.865030635602785e-06,0.00010426867488382104,8.362733378775003e-06,7.2167719532759705e-09,1.298873048307343e-06,9.257305737468436e-05,1.4308310017975972e-06,3.0853445144687364e-05
