,metabolites
0,
1,gh
2,atp
3,nadh
4,nadph
5,amet
6,gthox
7,gthrd
8,nmn
9,accoa
10,ala__L
11,amp
12,arg__L
13,asn__L
14,asp__L
15,chsterol
16,clpn_hs
17,cmp
18,cys__L
19,dag_hs
20,damp
21,dcmp
22,dgmp
23,dtmp
24,gln__L
25,glu__L
26,gly
27,glygn1
28,gmp
29,h2o
30,his__L
31,ile__L
32,leu__L
33,lpchol_hs
34,lys__L
35,mag_hs
36,met__L
37,pa_hs
38,pail_hs
39,pchol_hs
40,pe_hs
41,phe__L
42,pro__L
43,ps_hs
44,ser__L
45,sphmyln_hs
46,tag_hs
47,thr__L
48,trp__L
49,tyr__L
50,ump
51,val__L
52,xolest_hs
