,metabolites
0,
1,gh
2,atp
3,nadh
4,nadph
5,amet
6,gthox
7,gthrd
8,nmn
9,accoa
10,ala_L
11,amp
12,arg_L
13,asn_L
14,asp_L
15,chsterol
16,clpn_hs
17,cmp
18,cys_L
19,dag_hs
20,damp
21,dcmp
22,dgmp
23,dtmp
24,gln_L
25,glu_L
26,gly
27,glygn1
28,gmp
29,h2o
30,his_L
31,ile_L
32,leu_L
33,lpchol_hs
34,lys_L
35,mag_hs
36,met_L
37,pa_hs
38,pail_hs
39,pchol_hs
40,pe_hs
41,phe_L
42,pro_L
43,ps_hs
44,ser_L
45,sphmyln_hs
46,tag_hs
47,thr_L
48,trp_L
49,tyr_L
50,ump
51,val_L
52,xolest_hs
