,Sharma_21_H89-EGF_k0.1_r0.01,min_18_GSE122927_Meki_3B6_k0.1_r0.01,min_18_GSE122927_p21_3B6_k0.1_r0.01,min_18_GSE122927_SerumStarvation_3B6_k0.1_r0.01,Sharma_21_P_TPA_k0.1_r0.01,min_18_GSE122927_p21_2E2_k0.1_r0.01,min_18_GSE122927_P_ContactIn_3B6_k0.1_r0.01,min_18_GSE122927_ContactIn_2E2_k0.1_r0.01,min_18_GSE122927_CDK46i_2E2_k0.1_r0.01,min_18_GSE122927_P_CDK46i_2E2_k0.1_r0.01,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r0.01,johnson_18_GSE117444_P_k0.1_r0.01,Sharma_21_EGF_k0.1_r0.01,Sharma_21_P_EGF_k0.1_r0.01,min_18_GSE122927_P_p21_3B6_k0.1_r0.01,Sharma_21_P_H89-TPA_k0.1_r0.01,min_18_GSE122927_Meki_2E2_k0.1_r0.01,johnson_18_GSE117444_k0.1_r0.01,min_18_GSE122927_SerumStarvation_2E2_k0.1_r0.01,min_18_GSE122927_P_Meki_3B6_k0.1_r0.01,Sharma_21_TPA_k0.1_r0.01,Sharma_21_P_H89-EGF_k0.1_r0.01,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r0.01,min_18_GSE122927_ContactIn_3B6_k0.1_r0.01,min_18_GSE122927_P_p21_2E2_k0.1_r0.01,min_18_GSE122927_P_Meki_2E2_k0.1_r0.01,min_18_GSE122927_P_ContactIn_2E2_k0.1_r0.01,min_18_GSE122927_CDK46i_3B6_k0.1_r0.01,min_18_GSE122927_P_CDK46i_3B6_k0.1_r0.01,Sharma_21_H89-TPA_k0.1_r0.01
pe_hs,0.0,0.01985604660704529,0.0,0.0,0.015573348469864625,0.0034352856870399845,0.0,0.0,0.0,0.004843372586401705,0.0,0.0,0.0,0.0,8.304102202775105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011094612850334131,0.0,0.0
phe_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022839128780760467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_L,0.0,0.041543777542642046,0.0005283089937596867,0.0,0.03325652939131517,0.0004864571444307699,0.0006931484938363006,0.0004899467783420127,0.0,0.0,0.015824953345299035,0.007612509317007986,0.0026293708564168686,0.0,0.00029625894607920113,0.0,0.0,0.09163411864147594,0.04809132506046174,0.044639869982888485,0.0030804679123155633,0.0,0.027858687964801832,0.0,0.002405961923065027,0.04030217722068997,0.021998461462522944,0.007295727434029541,0.0005487616390144419,0.0
ps_hs,0.0,0.0,0.0,0.0,0.0030921647561460864,0.005230967106747474,0.00218957428842364,0.0005553777524420522,0.0,0.005160568501438825,0.009284213159169564,0.003629511648761223,0.0,0.0,0.0009689007983717713,0.0,0.0,0.0,0.0,0.0,0.0003150000793873824,0.0,0.002033174246193556,0.0,0.0005003456499112854,0.001835283320701193,0.0,0.0,0.000684415042949626,0.0
ser_L,0.0,0.05846295163715844,0.00045407311026168687,0.002939660574177746,0.04114935894228791,0.0,0.0,0.0,0.0,0.0034586300593263774,0.005014993858712174,0.0,0.0,5.360797413221542e-06,0.0002920748904902001,0.0,0.0,0.028085045434942557,0.0005824614646529546,0.004326653347947242,0.0,0.00012704115841477798,0.021714648513249307,0.002629473111164853,0.0,0.025253138149026168,0.016636720222574685,0.0333936935492061,0.00015505840607697407,0.003832120085817558
sphmyln_hs,0.0007038593018613127,0.0,0.001155432310383637,0.002114476529680291,0.0,0.0030924417579895895,0.0019021344058547393,0.001854970430621267,0.0006112293795446602,0.0017901452631283346,0.009263789940118772,0.009711463526879667,0.0008133445603597313,0.0,0.0006002094089162667,6.903453164979826e-05,0.0022193080403963145,0.011669830087185406,0.007655107704565875,0.007837760337512316,0.0011429819562836798,0.0,0.008326454771265639,0.0008274321124990507,0.005774595895212892,0.0030883584404226496,0.0041854488038456945,0.0017234101623301132,0.00017444590960592583,0.00033848450331873983
tag_hs,0.0,0.0,0.0009021206499543986,0.0002544535499874401,0.0,0.0,0.0005777937627899296,0.0,0.0001268067911758677,0.0,0.005413429125766465,0.0,0.0017307505983854654,1.332780543840952e-05,0.0,0.0,0.0,0.04449564225056955,0.01680069410208927,0.026039106151961148,0.0015138085602536735,0.0,0.012078511116537653,0.0,0.0,0.014406015182661179,0.0033881406399859956,0.0,6.498386758486899e-05,0.0
thr_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010822771598649136,0.0,0.0,0.0,0.0,0.0,0.0
trp_L,0.0,0.0,0.0,0.0,0.0,0.000318835455847167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008676256955465793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyr_L,0.0,0.0,0.0,0.0,0.0,0.00012350620537873413,0.0,0.00012683005930969423,0.0,0.0008059597400645835,0.0,0.0,0.0,0.0,0.0,0.0,0.0011574244964038304,0.0,0.0,0.0,0.0,0.0,0.0,0.0010594767304199645,0.0,0.0,0.0,0.0,0.0,8.289852426216293e-05
ump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021513833724467473,0.0,0.0,0.00013724084096417659,8.829994655593472e-05,0.0,0.037309459200702645,0.013956608936564675,0.014513025313740695,0.0,0.0,0.0016513460869126686,0.0,0.0,0.011192505851997384,0.0,0.0,0.0,0.0
val_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011534851907656197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xolest_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
