,metabolites
0,gh
1,atp
2,nadh
3,nadph
4,amet
5,gthox
6,gthrd
7,nmn
8,accoa
9,ala_L
10,amp
11,arg_L
12,asn_L
13,asp_L
14,chsterol
15,clpn_hs
16,cmp
17,cys_L
18,dag_hs
19,damp
20,dcmp
21,dgmp
22,dtmp
23,gln_L
24,glu_L
25,gly
26,glygn1
27,gmp
28,h2o
29,his_L
30,ile_L
31,leu_L
32,lpchol_hs
33,lys_L
34,mag_hs
35,met_L
36,pa_hs
37,pail_hs
38,pchol_hs
39,pe_hs
40,phe_L
41,pro_L
42,ps_hs
43,ser_L
44,sphmyln_hs
45,tag_hs
46,thr_L
47,trp_L
48,tyr_L
49,ump
50,val_L
51,xolest_hs
