,upgenes
405,ATP7B
406,OPTN
407,LRP1
408,PLP1
409,GPR83
410,INHA
411,SLC12A4
412,TOX2
413,CDH26
414,PPP4R1L
415,PAIP2B
416,KLHL31
417,CPNE5
418,RUNX2
419,AHNAK
420,BBS2
421,RAP2A
422,FAM193A
423,BARHL1
424,PPP1R12C
425,SLC2A4RG
426,SLC25A23
427,ALKBH7
428,TRIP10
429,BMP2
430,ZNF436
431,CHURC1-FNTB
432,MMP24
433,F10
434,THRA
435,NR1D1
436,RRAS
437,STAT5A
438,AHDC1
439,SLC10A3
440,EDN2
441,TSPAN8
442,KLF2
443,HIP1
444,ZFP36
445,KDR
446,ATF4
447,APOL3
448,TPST2
449,MPST
450,APOL2
451,CCDC136
452,IRF5
453,CGNL1
454,TTBK2
455,PALLD
456,PLD2
457,LRRC6
458,MTUS1
459,CDKN1C
460,IQCN
461,JUND
462,ZBTB46
463,PNPLA7
464,LAMA5
465,ASS1
466,ATG4D
467,MAP3K10
468,ZNF426
469,PLXNA3
470,CASZ1
471,HABP4
472,GSE1
473,NFATC1
474,RAB11FIP4
475,GALNT15
476,PPFIA1
477,PRKAB2
478,ITGB4
479,WBP2
480,KDM6B
481,VPS13B
482,REEP2
483,MTSS1L
484,TESMIN
485,OSER1
486,SLC14A2
487,FBXO44
488,ZMYM5
489,STARD13
490,TCEAL4
491,RARRES3
492,FAM83F
493,KRBA1
494,BTG1
495,SBF2
496,UNC79
497,PEBP4
498,CTIF
499,VAV3
500,WNT2B
501,SPIRE1
502,LPIN1
503,CRB1
504,SPX
505,AGO4
506,ZCCHC11
507,ADAMTS8
508,BICDL1
509,DMTF1
510,CCDC146
511,CEP162
512,PRR5L
513,PHF21A
514,PAN2
515,MAP7
516,MICAL1
517,GLUL
518,DNAJB2
519,TMEM127
520,ANKRD36
521,STAB2
522,SLC41A2
523,TNS3
524,GPNMB
525,ALPK3
526,CALCOCO2
527,TEX2
528,TMOD1
529,RNF38
530,CD72
531,GMPR
532,TMEM63B
533,IRF4
534,FHDC1
535,NUMA1
536,RAB30
537,MMP7
538,TRIM29
539,C11orf1
540,MAP2K5
541,MAPKBP1
542,PARP6
543,DUSP5
544,PLCE1
545,ADAMTS14
546,APH1B
547,ARHGAP24
548,FAM13A
549,KIAA1109
550,MAPK8IP3
551,TTLL8
552,GABARAPL1
553,FGD4
554,COL2A1
555,MARCH9
556,LNX2
557,N4BP2L1
558,LMBR1L
559,MORN3
560,REM2
561,CBLN3
562,RTN1
563,JDP2
564,FBLN5
565,SERPINA10
566,SLC12A6
567,BAHD1
568,CDAN1
569,SCAPER
570,NEIL1
571,CYP1A1
572,HAPLN3
573,ABHD2
574,DET1
575,MFGE8
576,RPL3L
577,TCF25
578,TOB1
579,BCAS3
580,MINK1
581,CBX4
582,GRB7
583,NFIC
584,ZFP14
585,COL6A1
586,SIK1
587,RNPEPL1
588,RERE
589,CELA2A
590,HSPG2
591,PTPRF
592,SYPL2
593,RRNAD1
594,LYPLAL1
595,RORC
596,CTSK
597,MINDY1
598,SEMA6C
599,ARNT
600,DUSP10
601,SLC39A1
602,HCN3
603,LYST
604,MBOAT2
605,WNT9A
606,ETNK2
607,PLEKHA6
608,ARL8A
609,RHOB
610,DQX1
611,NPHP1
612,KANSL1L
613,VGLL4
614,RETREG2
615,CTDSP1
616,IGSF11
617,BOC
618,UCN2
619,SNCA
620,CYP4V2
621,MARCH6
622,SRD5A1
623,PIK3R1
624,GABRA6
625,CPLX2
626,GFOD1
627,FAM193B
628,RNF44
629,RASGEF1C
630,SCUBE3
631,CYP39A1
632,PNRC1
633,RNF217
634,SLC2A12
635,SLC22A3
636,SDK1
637,SHROOM2
638,TMEM47
639,OGT
640,FRMPD3
641,ZNF185
642,HMBOX1
643,BIN3
644,TACC1
645,ADHFE1
646,ZNF7
647,C9orf72
648,C9orf3
649,STOM
650,NR6A1
651,ASTN2
652,CIZ1
653,LCN2
654,LRSAM1
655,INPP5E
656,PARD3
657,GLUD1
658,ITPRIP
659,CNNM2
660,ADM
661,TNKS1BP1
662,SERPING1
663,ZC3H12C
664,PLCH2
665,JPH2
666,TIRAP
667,LATS2
668,KIAA1328
669,FOXO1
670,CRIM1
671,THRB
672,ANK3
673,DLG5
674,MAT1A
675,NPAS3
676,KCTD14
677,DST
678,PTPN14
679,SETBP1
680,SPOCK1
681,PTPRK
682,MR1
683,BCL2L11
684,ZDHHC7
685,MSI2
686,ABI3BP
687,ANGPT1
688,CYP4Z2P
689,ABCA9
690,ABCA10
691,TNIK
692,PGM5
693,OBSCN
694,LONRF1
695,SORBS2
696,CHODL
697,CCDC174
698,PIEZO2
699,ACSS1
700,CDK19
701,GOLGA7B
702,C2CD6
703,FZD7
704,SLA
705,ELMSAN1
706,CFAP70
707,GNA14
708,FAM161B
709,CXCL13
710,CDK20
711,SH3RF2
712,CD109
713,FBXO32
714,NSMCE2
715,VPS8
716,FCHO2
717,NRG1
718,MMP14
719,GATAD1
720,TSC22D3
721,ETS2
722,CREB3L1
723,WDR19
724,EXTL1
725,TRIM63
726,UBXN11
727,NLRP14
728,TPRG1L
729,WASF2
730,ABHD3
731,FAM46B
732,RNF207
733,RIBC1
734,TMSB15B
735,KCNB1
736,DYNC1I1
737,PINK1
738,DMTN
739,FAM160B2
740,MRPL10
741,CIART
742,CCDC24
743,ARHGAP27
744,STARD9
745,CCDC17
746,ZDHHC1
747,ZFYVE28
748,RGS12
749,ZYX
750,ABR
751,LYPD5
752,BSDC1
753,CPAMD8
754,RALGDS
755,LSS
756,DIP2A
757,PRMT2
758,GPSM1
759,ZER1
760,CRTC2
761,PAQR6
762,CYP3A4
763,VPS28
764,MRNIP
765,AC007663.1
766,FBXO27
767,LRRC56
768,MSLNL
769,ADCY9
770,SLC25A45
771,PARS2
772,KLHL21
773,JAK1
774,PDPN
775,LAPTM5
776,KIAA1522
777,MEGF6
778,NTNG1
779,GBP2
780,SPATA17
781,NBPF20
782,PPP1R21
783,REL
784,TRIM17
785,SPATA18
786,SGPP2
787,PBXIP1
788,CLDN1
789,EIF4E3
790,STK36
791,PPM1L
792,C4orf36
793,ATXN7
794,ABHD6
795,DNASE1L3
796,IL17RC
797,TTC14
798,LZTFL1
799,TPRA1
800,KLF15
801,PRKCD
802,UVSSA
803,ABLIM2
804,ERMAP
805,FBXW12
806,PLXNB1
807,PPM1M
808,HPGD
809,IL15
810,EDIL3
811,ELOVL7
812,ANKRD33B
813,SPINK1
814,ERAP1
815,EBF1
816,ANKRA2
817,FOXQ1
818,GRIK2
819,CITED2
820,CREBRF
821,SAP30L
822,SLC29A4
823,MIOS
824,SYTL3
825,SLC13A4
826,TMUB1
827,BAALC
828,FREM1
829,TMC1
830,RASEF
831,GKAP1
832,PCDH19
833,VEGFD
834,SLITRK5
835,OTUD1
836,TMEM63C
837,FAAH2
838,ZFYVE1
839,IFI27L1
840,IFI27
841,HACD1
842,TCP11L2
843,RAB8B
844,ZFYVE19
845,SPINT1
846,LARP6
847,ZNF319
848,SCN3B
849,APBB1
850,TPP1
851,USP54
852,WDR88
853,PPFIBP2
854,CYB5R2
855,PLD4
856,PKD1L2
857,CCDC68
858,RRAD
859,ZNF592
860,C16orf45
861,PLIN1
862,NAV2
863,MYO1A
864,STAT6
865,DUSP18
866,TEF
867,FAM102A
868,C15orf39
869,TBC1D2B
870,NOD2
871,ZNF646
872,KLHL26
873,SERTAD3
874,NCKAP5L
875,TTYH1
876,LENG8
877,LY6D
878,UBXN6
879,NXN
880,CYB5D2
881,ZNF558
882,GHDC
883,E4F1
884,SRRM2
885,TRANK1
886,TTC21A
887,LTBP3
888,MAP4K2
889,KLHL30
890,SCNN1B
891,REEP4
892,TNXB
893,BMP1
894,ATXN2L
895,TMUB2
896,AXIN2
897,SLC16A4
898,TCTN2
899,SHOX2
900,NSG1
901,TMEM150A
902,VAMP5
903,JMJD7-PLA2G4B
904,PXDC1
905,FEM1B
906,IRS1
907,C8orf46
908,FAM110B
909,ZNF354A
910,NPIPB12
911,THBS3
912,CA5B
913,NPIPB3
914,KIAA1024
915,HEXDC
916,LDB2
917,TACR3
918,PCDH7
919,TRIM56
920,REPS2
921,TPST1
922,OTUD7A
923,BRD3
924,IFFO2
925,NLGN2
926,GPR37L1
927,CHRNB1
928,FAXDC2
929,LRRN2
930,GPRC5C
931,MGMT
932,HSD17B13
933,IRX2
934,STAT2
935,RASA4B
936,AKAP13
937,PPM1D
938,MTSS1
939,TMEM43
940,TPT1-AS1
941,DCDC1
942,ALK
943,INSR
944,PRKCE
945,GAA
946,KCND3
947,KRT20
948,ZNF524
949,DSEL
950,ZNF318
951,COL24A1
952,RXFP1
953,PIK3CD
954,SPSB1
955,RASGRP4
956,ZNF540
957,RAB33B
958,LAMB2
959,SLC9C1
960,MACROD2
961,CERS6
962,STARD5
963,SNTG2
964,EFEMP2
965,NADSYN1
966,NBEA
967,DCAKD
968,RELA
969,EVC2
970,BNC2
971,AHSA2P
972,ZNF483
973,TNKS
974,SAA1
975,PTPRM
976,VEGFB
977,MST1
978,SNX33
979,CHD2
980,HEG1
981,C11orf80
982,JUP
983,KCNH6
984,PHC3
985,RBM4
986,PIFO
987,CCS
988,CTSF
989,ARL13A
990,SNX31
991,ADCY6
992,ZBTB4
993,TNK1
994,SNHG11
995,GTF2IRD2B
996,C12orf76
997,ANKRD36C
998,ODAPH
999,DNAH12
1000,AMY1B
1001,KCTD13
1002,SLC22A1
1003,PACS1
1004,YPEL2
1005,CTDSP2
1006,CHST1
1007,PHYHD1
1008,C11orf68
1009,SWI5
1010,BAIAP2
1011,A2M
1012,NUPR1
1013,TPRN
1014,TCP11L1
1015,ZNF404
1016,SGF29
1017,PHLDB3
1018,CNBD1
1019,RNF152
1020,TTTY14
1021,FIBIN
1022,SHMT1
1023,SMCR8
1024,MTHFR
1025,SIX5
1026,ACER2
1027,DSCAML1
1028,EPS8L2
1029,ANO6
1030,ZBTB34
1031,MAN1B1
1032,FZD8
1033,PPFIA3
1034,PIDD1
1035,PNPLA2
1036,TMEM94
1037,TMEM187
1038,ZNF619
1039,ARL6IP6
1040,ODF3B
1041,ALS2CL
1042,PDE4DIP
1043,SH2B1
1044,ZNF543
1045,ZFAND2A
1046,ERBB4
1047,MAF
1048,AC092656.1
1049,GRINA
1050,GLULP4
1051,EFCAB13
1052,EXD1
1053,EXOC3L1
1054,PACS2
1055,ALOX15B
1056,MYADM
1057,MROH1
1058,R3HDM2
1059,ZNF784
1060,EXOC3
1061,AC017081.1
1062,MEIOC
1063,FZD2
1064,MTURN
1065,TPRXL
1066,ARHGAP45
1067,CUEDC1
1068,SLC26A11
1069,F2R
1070,HLA-V
1071,HIST3H2A
1072,TMEM136
1073,ZNF467
1074,SGSH
1075,HKR1
1076,ZBTB20
1077,SLC9A9
1078,AQP7P2
1079,UBA7
1080,MOB2
1081,C1S
1082,TSHZ2
1083,LIMK2
1084,SNORC
1085,ABAT
1086,GAS6
1087,GPC6
1088,C2CD4C
1089,RIMBP3C
1090,RPSAP19
1091,ZNF623
1092,SYNDIG1L
1093,FHL3
1094,TRIM61
1095,MEX3B
1096,COA5
1097,ACSM5
1098,DGCR6
1099,TOB2
1100,AC138969.1
1101,SDR42E2
1102,PP2D1
1103,GPR173
1104,TSPYL2
1105,MAML2
1106,SS18L1
1107,WDR27
1108,PROS1
1109,DUSP8
1110,ZBTB7C
1111,H1FX
1112,NUTM2A
1113,F8
1114,MAFF
1115,ANO9
1116,LRRC37B
1117,NRBP2
1118,IL3RA
1119,C12orf56
1120,PRKN
1121,MAPK11
1122,TARSL2
1123,METTL7A
1124,ROR1
1125,IRF7
1126,AHNAK2
1127,PBX1
1128,PCYT2
1129,NPIPB4
1130,KLHDC8B
1131,PTCH1
1132,IRS2
1133,RASA3
1134,PIP5K1C
1135,CYP4Z1
1136,BCL9L
1137,SLC36A3
1138,C5orf38
1139,ZNF396
1140,MIR22HG
1141,ARAP1
1142,MST1L
1143,TPCN1
1144,RTN4RL2
1145,ZNF395
1146,PPARA
1147,TMPRSS6
1148,CYP4A11
1149,MITF
1150,SHTN1
1151,SESTD1
1152,AC016912.1
1153,DNAJB13
1154,AMY1C
1155,DNER
1156,SNHG28
1157,UBQLN2
1158,RILPL1
1159,ARL4C
1160,EYS
1161,AGRN
1162,ZC3H6
1163,IGFL1
1164,PLSCR1
1165,C3orf62
1166,ENO4
1167,GOLGA6L3
1168,NKAIN2
1169,TEKT4P2
1170,FSIP2
1171,AC099489.1
1172,LRRK2
1173,KCTD21
1174,FAM35DP
1175,ANKDD1B
1176,H1F0
1177,CRYM-AS1
1178,BTBD8
1179,MAOA
1180,ANKRD62P1-PARP4P3
1181,SYCP2
1182,MYBPC1
1183,SPATS2L
1184,ZNF250
1185,WDSUB1
1186,FAT4
1187,GREB1
1188,GTF2IRD2
1189,EVL
1190,ARMCX4
1191,SLC6A9
1192,MYO18A
1193,AL138767.1
1194,PLXNB2
1195,ZNF782
1196,ZNF846
1197,ADH1B
1198,RABL6
1199,SLC30A10
1200,TECPR2
1201,ZNF33B
1202,VKORC1L1
1203,DAPK1
1204,TLE1
1205,MAML3
1206,ARID5A
1207,PPTC7
1208,KIAA1211L
1209,ANKRD36B
1210,ZNF252P
1211,ZNF398
1212,PIWIL2
1213,KANK2
1214,LRP10
1215,UAP1L1
1216,C5orf56
1217,AL359955.1
1218,HHLA3
1219,C5orf42
1220,PHF2
1221,PSAP
1222,EME2
1223,ZNF461
1224,FAM49A
1225,SPG7
1226,FCHSD1
1227,DNM3
1228,MBP
1229,ZNF84
1230,ZXDA
1231,CACNA1E
1232,FAM109A
1233,ZNF26
1234,MAFK
1235,C3orf35
1236,FAM19A2
1237,GLMP
1238,SMURF1
1239,ZNF358
1240,CD247
1241,DENND4B
1242,TOX
1243,R3HDM4
1244,CCDC152
1245,SHISA4
1246,MAP3K3
1247,MIR219A1
1248,ZNF525
1249,INF2
1250,COX20
1251,STUM
1252,MIR29B2CHG
1253,KPRP
1254,PNLIPRP3
1255,HSD3BP4
1256,RBM20
1257,GDI1
1258,PCMTD2
1259,LINC00963
1260,FOXO6
1261,MAFB
1262,LRRC37A5P
1263,SYT15
1264,RXRB
1265,COL5A2
1266,PBX2
1267,NEU1
1268,GPANK1
1269,ZNF805
1270,CDSN
1271,DDR1
1272,HLA-E
1273,RNF39
1274,HLA-J
1275,HLA-F
1276,STARD7-AS1
1277,AC008429.1
1278,CD177
1279,PCDHA1
1280,PDE7A
1281,DENND6B
1282,DENND1C
1283,TTC23L
1284,C1QTNF9B
1285,AC108134.1
1286,HCP5
1287,VGLL3
1288,AC239799.1
1289,RPL23AP45
1290,LCAT
1291,DDAH2
1292,ZNF134
1293,KCTD11
1294,PLEKHM1P1
1295,C17orf67
1296,GTF2IRD2P1
1297,AC019077.1
1298,NUTM2D
1299,AL355309.1
1300,KRT16P3
1301,NPIPA8
1302,COL28A1
1303,ALOX12-AS1
1304,AL137145.2
1305,GOLGA8B
1306,NPEPL1
1307,ZNF663P
1308,CELA2B
1309,SLC35E2
1310,AC245297.1
1311,TTC34
1312,CCDC7
1313,AL031777.1
1314,AL390719.1
1315,NBPF1
1316,FAM228B
1317,PPP3CB-AS1
1318,ARIH2OS
1319,FADS3
1320,FAM185A
1321,AC079305.1
1322,FTH1P10
1323,AL451065.1
1324,TINCR
1325,AC008277.1
1326,AC034195.1
1327,CCDC18-AS1
1328,AP001469.1
1329,AC007319.1
1330,C4B
1331,LINC00539
1332,LINC01708
1333,AC245100.1
1334,TTC21B-AS1
1335,IGHV3-74
1336,E2F6P2
1337,AL391684.1
1338,SETP20
1339,RANP4
1340,PLEKHM1
1341,ST13P6
1342,TAF1A-AS1
1343,NRSN2-AS1
1344,AC025188.1
1345,AL021707.1
1346,SLC26A6
1347,BX005266.2
1348,AC026167.1
1349,LINC01772
1350,AL356289.1
1351,AL022157.1
1352,AL606489.1
1353,AC007966.1
1354,AL035416.1
1355,AC104170.1
1356,AC105760.2
1357,SMIM2-AS1
1358,AC012501.1
1359,FGF7P6
1360,AC124861.1
1361,SCAMP4
1362,AC018647.1
1363,AC093495.1
1364,
1365,PCAT6
1366,AL158070.1
1367,C2orf92
1368,MIR34AHG
1369,FNDC10
1370,HOTAIR
1371,AL450306.1
1372,AC072022.1
1373,MIR4500HG
1374,AL160408.2
1375,PCDH9-AS2
1376,AC009495.1
1377,PPP1R12BP1
1378,AC104115.1
1379,AL162231.2
1380,AL160290.2
1381,RPL19P21
1382,FAM133DP
1383,FTX
1384,AC018638.2
1385,LINC01098
1386,SGO1-AS1
1387,AL359915.2
1388,RAB9AP5
1389,
1390,FAHD2CP
1391,AL590428.1
1392,TAPBP
1393,AC008440.2
1394,LINC02518
1395,KANTR
1396,AC079465.1
1397,AL158050.1
1398,SMG7-AS1
1399,SEC1P
1400,DLGAP4-AS1
1401,MIR3936HG
1402,FAM157B
1403,SNHG7
1404,AC126755.2
1405,AL049820.1
1406,LINC00702
1407,RASA4DP
1408,
1409,DLG5-AS1
1410,AC026202.2
1411,Z95624.1
1412,AC244394.2
1413,RPL34-AS1
1414,SP2-AS1
1415,JRK
1416,AL139289.2
1417,FTH1P2
1418,AC016745.1
1419,Z82188.2
1420,ITGA9-AS1
1421,ESRRAP2
1422,MSC-AS1
1423,LINC00894
1424,DICER1-AS1
1425,AC114488.2
1426,B3GALT4
1427,AC078777.1
1428,NEXN-AS1
1429,TTC28-AS1
1430,LINC01376
1431,AC019117.2
1432,AL008987.1
1433,RNF217-AS1
1434,CBR3-AS1
1435,AC096533.1
1436,AL139412.1
1437,C3orf84
1438,FOXD2-AS1
1439,AL359710.1
1440,AL157714.2
1441,PYY2
1442,ASB14
1443,CASTOR3
1444,GUSBP4
1445,C1orf226
1446,AMY2B
1447,AC092902.2
1448,CDRT1
1449,PISD
1450,SKINT1L
1451,LINC02046
1452,ARPIN
1453,LINC00882
1454,AP5Z1
1455,STRC
1456,AC018638.4
1457,KCTD7
1458,NPIPB5
1459,AL390195.1
1460,AC093278.1
1461,PBX2P1
1462,AC004889.1
1463,RPL12P33
1464,CCDC13
1465,MTHFD2P1
1466,LINC00847
1467,MALINC1
1468,CRNDE
1469,RAD51-AS1
1470,AC025164.1
1471,AC139795.1
1472,BAALC-AS1
1473,AC091948.1
1474,GPRC5D-AS1
1475,SPTY2D1OS
1476,SEC24B-AS1
1477,AL160313.1
1478,ADH1C
1479,TNXA
1480,AC073358.1
1481,AC104066.1
1482,AC091906.1
1483,NPHP3-AS1
1484,LINC02428
1485,ZNF807
1486,AC104211.1
1487,AC097103.2
1488,AC126768.2
1489,LINC02405
1490,UGDH-AS1
1491,IL20RB-AS1
1492,AC139887.2
1493,HOXC13-AS
1494,ENPP7P10
1495,AC104806.2
1496,AC020659.2
1497,AC093766.1
1498,AC096751.1
1499,AC008581.1
1500,AC111194.2
1501,ZBED3-AS1
1502,AC137770.1
1503,GMDS-AS1
1504,LINC01950
1505,AC097478.1
1506,AF117829.1
1507,LINC00589
1508,AC106760.1
1509,AC104123.1
1510,MSANTD3-TMEFF1
1511,AC145285.2
1512,AC104078.2
1513,AC096711.2
1514,AC104825.1
1515,RNA5SP216
1516,RF00492
1517,AC090193.1
1518,LINC00534
1519,AC021733.1
1520,LINC02099
1521,AC104964.1
1522,AP000424.1
1523,TPTE2P1
1524,AC009435.1
1525,AC027117.2
1526,AC011676.3
1527,NPIPB11
1528,AC009446.1
1529,CHKB-CPT1B
1530,AC022762.1
1531,
1532,AC079329.1
1533,PKD1P5
1534,AC107973.1
1535,AC100771.2
1536,ATP5PBP5
1537,AP006621.1
1538,STX17-AS1
1539,MIR100HG
1540,AC079917.1
1541,
1542,AC090092.1
1543,AP001267.3
1544,AP002748.3
1545,ENPP7P6
1546,ZNF252P-AS1
1547,AC137767.1
1548,AP001453.1
1549,SMIM3
1550,BTG1P1
1551,AP002518.2
1552,AC010186.3
1553,AP001363.2
1554,RRN3P3
1555,AC126763.1
1556,LINC01481
1557,
1558,AC083805.2
1559,LINC02410
1560,RHOXF1-AS1
1561,AC104035.1
1562,LINC00871
1563,AL132800.1
1564,AC060814.2
1565,AC008575.1
1566,AC068446.3
1567,AC004846.2
1568,AL118558.1
1569,AC005479.1
1570,AL157871.6
1571,AL132780.3
1572,AC005476.2
1573,AC023906.3
1574,AC021739.2
1575,LINC01491
1576,AC066613.2
1577,AC243562.2
1578,AC092078.2
1579,AL050341.2
1580,AC009133.2
1581,LINC02562
1582,AL133367.1
1583,TBC1D3G
1584,AC092287.1
1585,AC027373.1
1586,AL133355.1
1587,LINC01290
1588,FAM157C
1589,AC133550.1
1590,AC126773.2
1591,AC142381.3
1592,AC009107.1
1593,AC002310.4
1594,FOXC2-AS1
1595,DOCK9-AS2
1596,LINC02544
