,upgenes
413,PLS1
414,KIF15
415,MTBP
416,NOP56
417,RPL39L
418,FAM64A
419,C12orf34
420,DKC1
421,CYR61
422,ADRA1D
423,BORA
424,DIRAS3
425,HMGB2
426,NCAPH2
427,LSM4
428,CASC5
429,MTHFD1
430,COQ3
431,SLC4A8
432,ANP32E
433,DONSON
434,GLIPR1
435,FCRLA
436,NUP205
437,POP1
438,MRPL12
439,GPRIN1
440,NUPL1
441,PFAS
442,NUP188
443,METTL1
444,SDC1
445,SPRYD7
446,MANF
447,HN1L
448,RRP9
449,SRM
450,TONSL
451,PPIH
452,ABHD11
453,CCNE2
454,GALNTL4
455,HEY1
456,MGC12916
457,MMP12
458,NOP2
459,NXT1
460,WDR77
461,TEX30
462,XYLT1
463,RUVBL2
464,DUSP5
465,NIP7
466,GRWD1
467,OIP5
468,C9orf100
469,STIP1
470,MPV17L2
471,RCAN1
472,LOC152225
473,SSR3
474,HIST1H2BJ
475,CDK1
476,NET1
477,EXOSC8
478,TPM3
479,DARS2
480,LY6K
481,NCLN
482,YRDC
483,LINC00161
484,PASK
485,REEP4
486,ZNF492
487,C21orf58
488,CENPM
489,FAM196B
490,NUP155
491,TUBB2A
492,CKS2
493,FAM40B
494,CORO1C
495,FBXO43
496,KIF18A
497,IQGAP3
498,SH3BP5L
499,ILF2
500,PKP1
501,NRG1
502,RPL17
503,THOP1
504,CRIM1
505,TK1
506,SMAD7
507,F3
508,FANCG
509,SFN
510,BTG3
511,NUP93
512,HAT1
513,TOE1
514,MYO10
515,PRPF4
516,LOC728643
517,IPO4
518,PGAM5
519,MAPRE1
520,TPRKB
521,SUSD4
522,LOC81691
523,ACOT11
524,SMC1A
525,SCARNA22
526,ZNF695
527,TTF2
528,ARPC5L
529,LOC100288637
530,MND1
531,HES1
532,CCND1
533,TMEM201
534,ARHGAP18
535,LOC150381
536,TRMT6
537,PLAUR
538,ADAMTS6
539,CXCL3
540,C1QBP
541,BCAR3
542,YWHAH
543,PINX1
544,DOLPP1
545,CEP78
546,RUVBL1
547,MCM6
548,POLA1
549,MSH2
550,PDCD1LG2
551,WSCD1
552,ATP5G1
553,NCAPD2
554,C20orf27
555,TIMM21
556,NUDT15
557,CBFB
558,STRA13
559,RPS6KA1
560,ASPM
561,TIMM17A
562,RAP1GAP2
563,HYLS1
564,NUP85
565,PYCRL
566,CLPB
567,FOXL1
568,HPDL
569,CCDC150
570,BUB3
571,NUDT1
572,PEG10
573,ATRIP
574,NRIP3
575,RRP7A
576,CCDC138
577,SEC11C
578,SH2D5
579,SYTL3
580,HSPA8
581,GABBR2
582,POP5
583,KRBOX1
584,SRSF2
585,EMG1
586,SMAD9
587,SLC5A6
588,FAM110A
589,UHRF1
590,DHODH
591,HSPD1
592,COX17
593,GTPBP4
594,LOC642846
595,ZNF185
596,STARD8
597,DPF3
598,PSMD14
599,PDLIM5
600,SLC4A4
601,NUDCD1
602,POLD2
603,UBE2N
604,HNRNPA2B1
605,NME1
606,CACYBP
607,HAUS5
608,SNRPD1
609,RMI2
610,TIPARP
611,CCT2
612,LPXN
613,KATNAL1
614,PSMC3
615,CENPT
616,SNAI1
617,BRIX1
618,DCAF15
619,FAM216A
620,NASP
621,GEMIN6
622,SFPQ
623,XRCC3
624,KIFC3
625,KIRREL3
626,C3orf26
627,MASTL
628,SNHG4
629,SP6
630,ACTL6A
631,HMBS
632,DOHH
633,GRPEL1
634,PUS1
635,ORMDL2
636,SLC25A30
637,KRTAP4-12
638,TLL2
639,LOC100132987
640,TDP1
641,KLF10
642,CDKN2AIPNL
643,DIAPH1
644,DSP
645,GRK6
646,CENPF
647,SLC25A15
648,GPN3
649,MSTO1
650,TTLL12
651,FUBP1
652,LOC284950
653,SLC16A3
654,ADAMTS4
655,PRELID1
656,TFPI2
657,ULBP2
658,CFL1
659,PDCL3
660,FOSL1
661,SLC17A9
662,SHMT1
663,DOCK2
664,MYLK2
665,SSRP1
666,SUV39H2
667,SIK1
668,NETO2
669,H2AFZ
670,HRAS
671,SNORD27
672,TOMM34
673,LOC646329
674,NSUN2
675,XKR5
676,SNRPB
677,GEN1
678,C9orf40
679,SGK223
680,ITPRIP
681,DPH2
682,HNRNPH3
683,RPA2
684,ZDHHC23
685,HIST1H2AL
686,THOC3
687,CENPQ
688,CCIN
689,CCT6A
690,CSRP1
691,PKN3
692,PRADC1
693,PUS7
694,SPA17
695,FARSA
696,LOC284454
697,ANKRD52
698,HSPH1
699,TTC4
700,CENPJ
701,RGAG1
702,PLEKHN1
703,ODF2
704,CCDC77
705,RHEBL1
706,PAQR5
707,GAS2L1
708,KLC3
709,ARHGAP19
710,ALCAM
711,SHB
712,C12orf75
713,ARHGAP11B
714,LFNG
715,MB21D2
716,WNT5B
717,NAV2
718,S100A2
719,C11orf51
720,KBTBD8
721,IMP4
722,TMEM106C
723,EXOSC5
724,BRCA2
725,C5orf30
726,C16orf55
727,PRMT5
728,TNFAIP8L3
729,NOLC1
730,IL21R
731,RAB3B
732,RRP12
733,RCAN3
734,FOXD1
735,HYOU1
736,LYL1
737,GMPPB
738,PGM2
739,SLC35G1
740,TMX2
741,RRP36
742,SLC38A5
743,NUP62
744,RRP1
745,CCNE1
746,TIMM50
747,C19orf47
748,RGMB
749,SLC27A2
750,JUN
751,SLC25A5
752,C4orf46
753,CDK5R1
754,CCDC137
755,RGS4
756,NHP2
757,CEP97
758,TUBB3
759,AEN
760,ARSJ
761,STYK1
762,PAK4
763,SNHG1
764,C2CD2L
765,COTL1
766,UMPS
767,ZNF530
768,C4orf21
769,SPAG1
770,ARC
771,NOSTRIN
772,USP1
773,ECE2
774,LRRC8C
775,OSBPL6
776,ACTB
777,ZNF259
778,ZNF85
779,MRPL24
780,TCOF1
781,EIF2B3
782,AFP
783,PACSIN2
784,PSMD11
785,MRPL15
786,RRP7B
787,ANKRD32
788,CCRN4L
789,HNRNPD
790,ARHGAP33
791,TTLL4
792,ERLIN1
793,ARL6IP6
794,IDH3A
795,HIRIP3
796,POLR2D
797,CHEK1
798,PTPRF
799,NEFM
800,COBLL1
801,PHB
802,TOMM5
803,LAS1L
804,TCP1
805,PAK1IP1
806,DOK3
807,NOP58
808,FAM72A
809,CEP152
810,MYC
811,FAM86A
812,DIEXF
813,RBBP8
814,METTL11A
815,C1orf170
816,MARS2
817,MRPL39
818,SMC4
819,MYBBP1A
820,RNF126
821,LOC399815
822,GPATCH4
823,LYSMD2
824,SMPD4
825,GGCT
826,PVR
827,PPP2CA
828,NUDC
829,FLNB
830,GSPT1
831,NOM1
832,TRA2B
833,PTP4A1
834,STX1A
835,NUP107
836,DAZAP1
837,LIG3
838,SH3BP4
839,WDR1
840,SMURF2
841,PSMD12
842,ABCE1
843,GAR1
844,LOC100126784
845,SNRPC
846,TOPBP1
847,LOC643650
848,BCS1L
849,DHX34
850,CCDC134
851,SAE1
852,ALG10
853,PPIF
854,PPAT
855,SLC25A13
856,FGFR1OP
857,CYC1
858,PSMD3
859,GRAMD1C
860,CCT7
861,TMEM106A
862,HPRT1
863,MTAP
864,SNORD29
865,LOC100287314
866,DHX33
867,EIF2S1
868,GTF3C6
869,HAUS6
870,SH3RF1
871,FMN2
872,SIPA1L3
873,NOL6
874,TBRG4
875,SNORD17
876,DPM2
877,NAA15
878,RCL1
879,CISD3
880,NEFH
881,SRXN1
882,EXOSC6
883,PFN1
884,KIAA1279
885,ABL2
886,EGF
887,WDR43
