,upgenes
408,COBL
409,NOD1
410,RBM28
411,LSM 5.00
412,RPA3
413,EZH2
414,ANKMY2
415,CHCHD3
416,GLI3
417,POLD2
418,YKT6
419,CLIP2
420,LIMK1
421,FKTN
422,ENG
423,RLN1
424,PLGRKT
425,KDM4C
426,FUBP3
427,PHYH
428,TRDMT1
429,LIPA
430,TWNK
431,EDRF1
432,GLRX3
433,SORCS1
434,SMC3
435,ZMIZ1
436,GIT1
437,PEX12
438,KAT2A
439,PPP1R9B
440,AC130689.1
441,TMEM97
442,PMP22
443,SUPT6H
444,GNRHR
445,NMU
446,INPP4B
447,RPL34
448,GAR1
449,AADAT
450,GALNT7
451,SEPSECS
452,TRIM2
453,SLC2A9
454,SNX25
455,ELP4
456,HSPA8
457,DTX4
458,DCPS
459,ST3GAL4
460,CCND1
461,GALNT18
462,DDX6
463,NECTIN1
464,KIAA1549L
465,AMBRA1
466,NAA40
467,SLC35F2
468,AIP
469,NDUFS8
470,TCIRG1
471,EXPH5
472,CLEC2B
473,COQ5
474,KCTD10
475,CAMKK2
476,CYP27B1
477,KRT18
478,TNS2
479,PPM1H
480,MAGOHB
481,ITFG2
482,FOXM1
483,RAD51AP1
484,SCNN1A
485,C12orf49
486,RFC5
487,TIMELESS
488,KRR1
489,CHPT1
490,SUDS3
491,C2CD5
492,CEP85L
493,RNGTT
494,RIPOR2
495,FBXO5
496,MTRF1L
497,PPARD
498,MRPL18
499,RNF8
500,MDN1
501,CAP2
502,E2F3
503,PTP4A1
504,B3GAT2
505,PHACTR2
506,PDE10A
507,MDFI
508,FAM120B
509,BICRAL
510,MRPL2
511,DNPH1
512,EXOC2
513,GMDS
514,SENP6
515,LAMA4
516,FBRSL1
517,ERBIN
518,CEP72
519,MAN2A1
520,DAP
521,KIF20A
522,PFDN1
523,PDE8B
524,ARSB
525,LMNB1
526,SLC27A6
527,ST8SIA4
528,WWC1
529,H2AFY
530,TCERG1
531,STC2
532,SELENOK
533,ARL 6.00
534,XRN1
535,CSPG5
536,PLCH1
537,FOXP1
538,NEK4
539,KANSL3
540,FAHD2A
541,TFCP2L1
542,SF3B6
543,CENPA
544,ITGA4
545,MOGS
546,NDUFS7
547,GRB14
548,GALNT3
549,CCDC88A
550,FANCL
551,PECR
552,UNC50
553,GNLY
554,ST3GAL5
555,CHST10
556,MOB4
557,PLCD4
558,FHL2
559,PASK
560,STK25
561,STRN
562,ATF2
563,MSH6
564,PLEKHA3
565,BCL9
566,CEP104
567,ERRFI1
568,MECR
569,HDAC1
570,ARHGEF2
571,SRM
572,DNAJC6
573,WLS
574,CRYZ
575,TTF2
576,C1orf109
577,SDHB
578,ZNHIT6
579,P3H1
580,EBNA1BP2
581,CDC20
582,ATP6V0B
583,TSPAN1
584,CNN3
585,PTBP2
586,STMN1
587,NEK2
588,NSL1
589,CENPF
590,PPP1R8
591,MARC2
592,TXNDC12
593,CD3EAP
594,STAG1
595,KMT2A
596,NRP2
597,AKAP7
598,PKD2
599,CCNI
600,RARRES1
601,SATB2
602,HEATR1
603,WDR34
604,CNTRL
605,NEK6
606,NDUFA8
607,DENND1A
608,ZBTB45
609,LTBP2
610,MLH3
611,SLIRP
612,ESRRB
613,ATAD2B
614,LGALSL
615,IFIT3
616,HELLS
617,C10orf95
618,MTHFD1L
619,ARAP3
620,ACAT2
621,MSANTD2
622,ENY2
623,ELF1
624,SMAD9
625,PLS1
626,UTP20
627,TMPO
628,APAF1
629,DUSP4
630,SORBS3
631,LYPLA1
632,COIL
633,LRAT
634,MND1
635,BCL2L14
636,ADGRB2
637,PIK3CA
638,TMEM156
639,GTDC1
640,MRPS2
641,RPL5
642,PTGFR
643,SPATA1
644,CCDC18
645,RPAP2
646,ZMIZ2
647,SEPT7
648,POLM
649,KIAA1549
650,SRGN
651,SLC25A16
652,ZWINT
653,CIT
654,CDKN2C
655,PRDX4
656,PKN1
657,NLN
658,CENPK
659,HOXC11
660,EEF1AKMT3
661,AMD 1.00
662,C4BPA
663,AGO2
664,MXD4
665,CKS2
666,DAW1
667,DNPEP
668,PARD6B
669,TOX2
670,SNAI1
671,USP9X
672,RRP36
673,HIST1H1D
674,HIST1H1A
675,C16orf70
676,RAP2A
677,ABCC4
678,C17orf53
679,BMP4
680,MRPS7
681,NT5C
682,DDX31
683,GRIA3
684,CD70
685,SH2D3A
686,SYMPK
687,GPCPD1
688,PANK2
689,GZF1
690,SNRPB2
691,ST3GAL3
692,XRCC3
693,CAPNS1
694,FRMD8
695,BCL2L12
696,DNAJC8
697,UXT
698,ELK1
699,DLGAP5
700,ZBTB1
701,COX7C
702,MASP1
703,DYRK2
704,AUNIP
705,PKMYT1
706,CHTF18
707,TUBBP1
708,MACF1
709,METTL16
710,STYXL1
711,VPREB3
712,RIBC2
713,CDHR3
714,PSMG2
715,ARHGAP22
716,MINDY2
717,IVD
718,SERGEF
719,DCTD
720,TXNDC17
721,FXR2
722,PARP2
723,SEC14L1
724,ARHGEF6
725,TTI2
726,TMEM8A
727,PHF10
728,GNL3L
729,SH3BP4
730,THEM6
731,FAM98C
732,ATP8B3
733,C6orf203
734,ARPC1B
735,SSBP4
736,GDF15
737,LSM 4.00
738,LSP1
739,TNNI2
740,H19
741,TAF4
742,EXOSC2
743,ZC3H4
744,ARHGEF16
745,DNMT1
746,ZNF236
747,LRP3
748,EPS8L1
749,ARHGEF9
750,PYY
751,ZNF227
752,AC010531.1
753,COX7B
754,NFATC1
755,HAUS8
756,TUBG1
757,PSME3
758,PSMC3IP
759,ACLY
760,AOC2
761,NDUFA2
762,EXOC4
763,RARA
764,CHSY1
765,NUP210
766,HSD17B7
767,RRP8
768,ILKAP
769,PRKAA1
770,MYBBP1A
771,TMEM128
772,UNK
773,TERF2
774,MTSS1L
775,HSPA12B
776,BTBD3
777,NXT1
778,BCAN
779,TOE1
780,MUTYH
781,CTNNBL1
782,POMP
783,WASF3
784,MYH10
785,MPRIP
786,DSTYK
787,SPART
788,SLC39A11
789,BTBD2
790,HSPBP1
791,SLF1
792,MACROD1
793,ADCK2
794,ZNF767P
795,ACTR3B
796,ATP13A3
797,LRRCC1
798,ARNTL
799,RRAS2
800,IER3IP1
801,BHLHE40
802,MEIS2
803,EMC7
804,PRPF38B
805,LAMTOR5
806,NOTCH2
807,KIAA1468
808,CCNH
809,TMEM241
810,RERG
811,LRP4
812,PUM1
813,PHC2
814,CDCA8
815,RNF138
816,DTNA
817,FHOD3
818,GIF
819,C5AR2
820,COL4A2
821,DZIP1
822,TPP2
823,ACRV1
824,SLC37A2
825,WDR36
826,CCNJL
827,TBX3
828,RNFT2
829,TMEM243
830,ANKRD6
831,CEP162
832,PRR5L
833,ATP5MC2
834,GDF11
835,TROAP
836,ESPL1
837,KRT87P
838,KRT7
839,TEC
840,KCNK1
841,URB2
842,ABCB10
843,USP37
844,EIF4E2
845,ARMC9
846,REV1
847,FLNB
848,NEK3
849,RNASEH2B
850,CKAP2
851,CNMD
852,BORA
853,LRCH1
854,SPRY2
855,RAPGEF5
856,TTC5
857,ABHD17C
858,DCAF7
859,MRPL47
860,BLK
861,KCTD3
862,TLR4
863,GARNL3
864,ANP32B
865,DSCC1
866,DERL1
867,MYC
