,upgenes
401,NIM1
402,ETV7
403,FRY
404,PCDHGB1
405,MAP1LC3C
406,PCDHGA3
407,GDPD5
408,KCND1
409,LOC286367
410,LOC100499466
411,ADAMTS5
412,ZFP14
413,GCNT4
414,CFI
415,LOC100507557
416,WDR52
417,ACSL5
418,SMPDL3A
419,FAM211B
420,KLF4
421,JAZF1
422,HSD11B1L
423,OSBPL1A
424,LOC100132891
425,CTSA
426,IGFBP6
427,DCHS1
428,IFITM2
429,FMNL1
430,WLS
431,ZNF219
432,FKBP9
433,CELF6
434,RNASE4
435,MAP3K12
436,ZHX2
437,ZNF396
438,SLC44A3
439,ADD3
440,EBF1
441,BBS1
442,DTX3L
443,S1PR2
444,RUNX1T1
445,SSH3
446,ISG20
447,LRRC56
448,ANGPTL2
449,GAS7
450,PRKCH
451,MEG3
452,CA11
453,ARHGEF25
454,APP
455,LOC100129196
456,PPIL6
457,LOC79015
458,SSPO
459,GRIN3B
460,YPEL5
461,SLC29A2
462,SNX32
463,GUCY1A2
464,PCSK4
465,LOC653160
466,PXK
467,WDR19
468,LPHN2
469,C14orf159
470,VMAC
471,EMID2
472,C1orf115
473,PHKG1
474,ACAD11
475,TRIM69
476,ACACB
477,TTC39C
478,FKBP9L
479,GIMAP2
480,TMEM91
481,RNASET2
482,VPS37D
483,SLC24A6
484,LOC646851
485,EIF4E3
486,SIAE
487,YPEL3
488,LAMB1
489,NLGN4Y
490,SLC12A7
491,KIAA1377
492,PSAP
493,C4orf34
494,PHF21A
495,LINC00324
496,ARMC9
497,NPHP3-ACAD11
498,LY75
499,PIGZ
500,DDX60
501,SLC16A4
502,ADH1C
503,SH3YL1
504,MOCOS
505,RAMP1
506,THSD7A
507,SERPINE2
508,ARHGEF6
509,LOC643529
510,LIPC
511,BCL11A
512,TSNARE1
513,DMPK
514,FST
515,LPAR6
516,BZRAP1
517,LOC100132215
518,SLC27A3
519,TMEM229B
520,CEBPA
521,NEIL1
522,LRIG1
523,COL8A2
524,GSN
525,SEMA6D
526,TTC28
527,PCDHGB2
528,KIAA1683
529,CYP26B1
530,PCDHGA4
531,MORN3
532,PLD3
533,LOC285768
534,SLC13A3
535,LINC00087
536,PRX
537,LOC284440
538,TGFB3
539,FBXO44
540,DNAH1
541,CYYR1
542,ZNF862
543,BATF2
544,PLBD2
545,TMEM178
546,DLL1
547,SOD2
548,ING4
549,ECHDC2
550,PLCD3
551,CAPN3
552,FLJ32224
553,ALDH1L2
554,DKK2
555,FYN
556,LRRC27
557,ERMAP
558,C10orf107
559,HDAC9
560,KLHL30
561,C17orf58
562,FBLN2
563,HSD17B7P2
564,CILP2
565,TSPAN11
566,OTUD1
567,CRABP2
568,COLEC12
569,SCARA5
570,B2M
571,SLC27A1
572,ZC3H6
573,SLC6A16
574,TNFAIP8
575,ZNF554
576,FLJ90757
577,RAPGEF6
578,RASGEF1A
579,IFITM3
580,GLI3
581,HLA-C
582,SLC17A7
583,GUCY1B3
584,LMBRD1
585,FAM210B
586,CDKN1C
587,TRIM47
588,FAM115C
589,LOC100506779
590,AMY2B
591,CRTC1
592,EVL
593,GATSL3
594,SSPN
595,LOC100288974
596,MYLIP
597,EPHB3
598,HEPH
599,LRRC16A
600,SHOX2
601,TAPBPL
602,PDE5A
603,LOC100129550
604,EFNA3
605,SCPEP1
606,C14orf132
607,CPZ
608,PNPLA7
609,GPC6
610,WIPI1
611,CH25H
612,LOC643733
613,DMGDH
614,RHOQ
615,USP43
616,GPR162
617,ARID5B
618,AIF1L
619,EVC
620,ATHL1
621,PLEKHM1P
622,LOC146880
623,PRDM11
624,RAB7L1
625,BCAM
626,AMBP
627,CEACAM19
628,ROM1
629,GRIA3
630,TPCN1
631,SPIN2A
632,ALDH2
633,PPP1R32
634,TBC1D8
635,FAM82A1
636,FAM8A1
637,P2RY14
638,FBXL7
639,ALDH3A2
640,CCDC30
641,PCDHGA2
642,JAM2
643,SLIT3
644,IQCA1
645,ANKDD1A
646,PTPRS
647,ACVRL1
648,AKNA
649,FBLN1
650,PLXNB1
651,LUST
652,NUPR1
653,LOC401320
654,PPAP2A
655,ZNF667
656,FAM113A
657,NISCH
658,MANBA
659,ADAM22
660,DPYSL2
661,ZNF277
662,LOC100506874
663,TCEA3
664,PCDHB10
665,BACH1
666,OSMR
667,LOC729970
668,ANXA9
669,ACVR2A
