,upgenes
402,EPGN
403,LINC01006
404,RPS17
405,GLUD2
406,ABAT
407,ARHGEF37
408,MEX3B
409,FAM46C
410,GPR1
411,BMP8A
412,ARSI
413,UQCR10
414,PCDH9
415,MAP7D2
416,PROS1
417,ATL3
418,IFITM2
419,TCEAL9
420,IL3RA
421,KRT6B
422,SV2B
423,AHNAK2
424,ADAMTSL5
425,CCDC84
426,SOWAHB
427,MST1P2
428,CA5BP1
429,KRT10
430,MYT1L
431,MIR22HG
432,KRT16
433,KRT14
434,MITF
435,CHP1
436,C9orf153
437,C6orf132
438,IGFL1
439,IER5L
440,LRRK2
441,NDUFA4
442,S100A13
443,MAOA
444,SLC35E2B
445,TCEAL3
446,SLC6A9
447,MME
448,SULF2
449,ZNF846
450,DAPK1
451,KPNA5
452,NOP9
453,ANXA4
454,SLC25A29
455,SLC22A5
456,MIB2
457,RAB40C
458,MFAP5
459,SERPINB13
460,SPTAN1
461,RPS26
462,PSAP
463,RPL37A
464,FCHSD1
465,GOLGA6L9
466,IRAK4
467,DEFB107B
468,FKBP1C
469,ZNF568
470,ZXDB
471,ZNF587
472,NBR2
473,PAPSS2
474,MT-ND6
475,MT-CYB
476,MT-ND3
477,MT-ATP6
478,RNU1-120P
479,RN7SKP193
480,RNU4-2
481,RBM20
482,MAFB
483,HSD17B8
484,HLA-E
485,HLA-F
486,RPS26P8
487,TCTN1
488,SYCE1L
489,CDKL4
490,PSMB10
491,CFI
492,KRT6A
493,AL049775.1
494,DENND1C
495,VGLL3
496,COLQ
497,MIR34B
498,MIR23A
499,MT-TF
500,MT-RNR2
501,MT-TC
502,RPL23AP4
503,RPS26P6
504,RPS29
505,ZNF134
506,AL731661.1
507,TTLL3
508,PLEKHM1P1
509,AC010468.1
510,KRT16P3
511,KRT16P1
512,AC004540.1
513,COL28A1
514,RPL13P12
515,GRID2IP
516,MSMP
517,ARHGAP27P1-BPTFP1-KPNA2P3
518,AL451074.1
519,ADAMTS7P4
520,FTH1P8
521,ACTBP8
522,C6orf226
523,AC137630.1
524,TINCR
525,LINC02471
526,AL357140.1
527,LINC01133
528,AL023754.1
529,AF196972.1
530,OACYLP
531,SVIL-AS1
532,NPIPA3
533,AC004552.1
534,NTF4
535,AL356289.1
536,COX6A1P2
537,AC003666.1
538,AC107983.1
539,AC053503.1
540,AL445472.1
541,AC112229.2
542,AL359915.1
543,MT-ATP8
544,LYPLA2P1
545,DAP3P2
546,WEE2-AS1
547,AC104653.1
548,LINC01344
549,AC026403.1
550,AL445488.1
551,AL160290.2
552,HOXB-AS1
553,AL109811.2
554,AL118508.1
555,AL139383.1
556,AL035409.1
557,AGAP10P
558,MTCO1P53
559,AC079250.1
560,RPL22P24
561,AF127577.2
562,LINC01510
563,RPS18
564,AL136454.1
565,AC073342.1
566,AC007383.3
567,AC007364.1
568,ANXA2P2
569,AL691447.2
570,LINC02518
571,AC084030.1
572,AC079465.1
573,LINC00342
574,AC108479.1
575,AL139120.1
576,AC092814.1
577,AL596275.1
578,SRP14P2
579,AC012146.1
580,LINC01914
581,AL139042.1
582,AL021392.1
583,FTH1P2
584,TMEM185AP1
585,LINC01621
586,AC010149.1
587,ADAM21P1
588,RPL36AP26
589,HSPB1P1
590,RPL18AP15
591,AC019117.2
592,AL391704.2
593,RPL13AP5
594,INTS6-AS1
595,TTN-AS1
596,AL365295.1
597,AF130359.1
598,LINC00674
599,FLG-AS1
600,BX470102.1
601,RPL5P22
602,PRKAG2-AS1
603,MME-AS1
604,LINC00886
605,AC114490.1
606,AC244197.3
607,SPRR2A
608,SKINT1L
609,AC024940.3
610,UPK3B
611,WWP1P1
612,IFITM10
613,CCDC13
614,RN7SL396P
615,EEF1A1P4
616,AP003352.1
